project_id,chain,token_address,pair_address,creator_address,creation_timestamp,rugpull_label,rugpull_type,source_dataset,collection_failed
reflation (RLF),ETH,,,,2002-07-18 00:00:00.000000000,1,,tm_rugpull,
Binance-Peg Ethereum Token,BSC,,,,2013-05-01 00:00:00.000000000,0,,tm_rugpull,
Wrapped Monero (WXMR),ETH,,,,2014-05-22 00:00:00.000000000,0,,tm_rugpull,
Kore (KORE),ETH,,,,2014-06-22 00:00:00.000000000,1,,tm_rugpull,
Wrapped SYS (WSYS),BSC,,,,2014-08-21 00:00:00.000000000,0,,tm_rugpull,
Tether USD (USDT),ETH,,,,2015-02-26 00:00:00.000000000,0,,tm_rugpull,
Agoras Token (AGRS),ETH,,,,2015-09-06 00:00:00.000000000,0,,tm_rugpull,
Franklin (FLy),ETH,,,,2015-09-15 00:00:00.000000000,0,,tm_rugpull,
AntiSocial Token (ANTI),BSC,,,,2015-12-16 00:00:00.000000000,1,,tm_rugpull,
Jewels (JWL),ETH,,,,2016-09-19 00:00:00.000000000,1,,tm_rugpull,
Binance-Peg Zcash Token (ZEC),BSC,,,,2016-11-09 00:00:00.000000000,0,,tm_rugpull,
Minter (MINT),BSC,,,,2016-11-13 00:00:00.000000000,1,,tm_rugpull,
Binance-Peg Maker (MKR),BSC,,,,2017-02-08 00:00:00.000000000,0,,tm_rugpull,
SwarmCity (SWT),ETH,,,,2017-03-04 00:00:00.000000000,1,,tm_rugpull,
ChronoTech Token (TIME),ETH,,,,2017-03-09 00:00:00.000000000,0,,tm_rugpull,
Ocean Token (OCEAN),ETH,,,,2017-03-16 00:00:00.000000000,0,,tm_rugpull,
Monolith (TKN),ETH,,,,2017-05-08 00:00:00.000000000,0,,tm_rugpull,
Gnosis (GNO),ETH,,,,2017-05-11 00:00:00.000000000,0,,tm_rugpull,
Aragon Network Token (ANT),ETH,,,,2017-05-28 00:00:00.000000000,0,,tm_rugpull,
Veritaseum (VERI),ETH,,,,2017-06-17 00:00:00.000000000,1,,tm_rugpull,
"
Bancor (BNT)",ETH,,,,2017-06-19 00:00:00.000000000,0,,tm_rugpull,
IceToken (ICE),ETH,,,,2017-06-24 00:00:00.000000000,0,,tm_rugpull,
StatusNetwork (SNT),ETH,,,,2017-07-07 00:00:00.000000000,1,,tm_rugpull,
Binance-Peg EOS Token (EOS),BSC,,,,2017-07-10 00:00:00.000000000,0,,tm_rugpull,
AdEx Network (ADX),BSC,,,,2017-07-10 00:00:00.000000000,0,,tm_rugpull,
Storj (STORJ),ETH,,,,2017-07-12 00:00:00.000000000,0,,tm_rugpull,
SunContract (SNC),ETH,,,,2017-07-15 00:00:00.000000000,1,,tm_rugpull,
BASv2 (BASv2),ETH,,,,2017-08-13 00:00:00.000000000,0,,tm_rugpull,
Civic (CVC),ETH,,,,2017-08-17 00:00:00.000000000,0,,tm_rugpull,
VeChain (VET),ETH,,,,2017-08-22 00:00:00.000000000,0,,tm_rugpull,
YOYOW (YOYOW),ETH,,,,2017-08-28 00:00:00.000000000,1,,tm_rugpull,
bitqy (BQ),ETH,,,,2017-09-05 00:00:00.000000000,1,,tm_rugpull,
ChainLink Token (LINK),ETH,,,,2017-09-21 00:00:00.000000000,0,,tm_rugpull,
TRON (TRX),BSC,,,,2017-09-22 00:00:00.000000000,0,,tm_rugpull,
Kyber Network Crystal v2 (KNC),ETH,,,,2017-09-25 00:00:00.000000000,0,,tm_rugpull,
Decentraland (MANA),ETH,,,,2017-09-25 00:00:00.000000000,0,,tm_rugpull,
Binance-Peg Cardano Token (ADA),BSC,,,,2017-10-02 00:00:00.000000000,0,,tm_rugpull,
ATMChain (ATM),ETH,,,,2017-10-12 00:00:00.000000000,1,,tm_rugpull,
Cindicator (CND),ETH,,,,2017-10-14 00:00:00.000000000,1,,tm_rugpull,
Tierion Network Token (TNT),ETH,,,,2017-10-18 00:00:00.000000000,1,,tm_rugpull,
AirSwap (AST),ETH,,,,2017-10-18 00:00:00.000000000,0,,tm_rugpull,
KuCoin Token (KCS),ETH,,,,2017-10-25 00:00:00.000000000,0,,tm_rugpull,
AirSwap (AST),ETH,,,,2017-10-26 00:00:00.000000000,1,,tm_rugpull,
Request (REQ),ETH,,,,2017-10-29 00:00:00.000000000,0,,tm_rugpull,
Fuel Token (FUEL),ETH,,,,2017-10-31 00:00:00.000000000,1,,tm_rugpull,
PRG (PRG),ETH,,,,2017-11-04 00:00:00.000000000,1,,tm_rugpull,
SmartMesh Token (SMT),ETH,,,,2017-12-19 00:00:00.000000000,1,,tm_rugpull,
Uquid Coin (UQC),ETH,,,,2017-12-21 00:00:00.000000000,0,,tm_rugpull,
Playkey (PKT),ETH,,,,2017-12-21 00:00:00.000000000,1,,tm_rugpull,
